Epidemiological_Week,Age_Category,All_Causes_ED_Visits_to_Ottawa_Hospitals,Respiratory_related_ED_Visits_to_Ottawa_Hospitals,F__ED_Visits_Respiratory_related_in_Ottawa_Hospitals,ObjectId
2025/09/07,04 to 11 Years,545,119,21.8%,122
2025/09/07,12 to 17 Years,532,46,8.6%,123
2025/09/07,18 to 54 Years,3194,195,6.1%,124
2025/09/07,55 to 79 Years,2103,150,7.1%,125
2025/09/07,80+ Years,712,60,8.4%,126
2025/09/14,00 to 03 Years,485,206,42.5%,127
2025/09/14,04 to 11 Years,538,127,23.6%,128
2025/09/14,12 to 17 Years,480,34,7.1%,129
2025/09/14,18 to 54 Years,3219,224,7.0%,130
2025/09/14,55 to 79 Years,1951,144,7.4%,131
2025/09/14,80+ Years,772,80,10.4%,132
2025/09/21,00 to 03 Years,512,214,41.8%,133
2025/09/21,04 to 11 Years,519,128,24.7%,134
2025/09/21,12 to 17 Years,498,42,8.4%,135
2025/09/21,18 to 54 Years,3355,235,7.0%,136
2025/09/21,55 to 79 Years,1909,143,7.5%,137
2025/09/21,80+ Years,729,71,9.7%,138
2025/09/28,00 to 03 Years,522,225,43.1%,139
2025/09/28,04 to 11 Years,518,107,20.7%,140
2025/09/28,12 to 17 Years,477,37,7.8%,141
2025/09/28,18 to 54 Years,3492,253,7.2%,142
2025/09/28,55 to 79 Years,1905,152,8.0%,143
2025/09/28,80+ Years,744,74,10.0%,144
2025/10/05,00 to 03 Years,494,207,41.9%,145
2025/10/05,04 to 11 Years,506,109,21.5%,146
2025/10/05,12 to 17 Years,451,29,6.4%,147
2025/10/05,18 to 54 Years,3334,220,6.6%,148
2025/10/05,55 to 79 Years,1939,159,8.2%,149
2025/10/05,80+ Years,710,67,9.4%,150
2025/10/12,00 to 03 Years,546,249,45.6%,151
2025/10/12,04 to 11 Years,450,84,18.7%,152
2025/10/12,12 to 17 Years,371,19,5.1%,153
2025/10/12,18 to 54 Years,3231,227,7.0%,154
2025/10/12,55 to 79 Years,1966,163,8.3%,155
2025/10/12,80+ Years,715,62,8.7%,156
2025/10/19,00 to 03 Years,519,237,45.7%,157
2025/10/19,04 to 11 Years,432,85,19.7%,158
2025/10/19,12 to 17 Years,504,35,6.9%,159
2025/10/19,18 to 54 Years,3410,216,6.3%,160
2025/10/19,55 to 79 Years,1851,177,9.6%,161
2025/10/19,80+ Years,806,71,8.8%,162
